top - 21:38:13 up 2 days, 22:58,  1 user,  load average: 3.45, 14.30, 17.32
Tasks: 1175 total,   1 running, 1174 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.2 us,  0.6 sy,  0.0 ni, 99.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 511582.2 total, 507940.4 free,   1417.2 used,   2224.5 buff/cache
MiB Swap:   8192.0 total,   8192.0 free,      0.0 used. 507362.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     84 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     86 root      rt   0       0      0      0 S   0.0   0.0   0:03.19 migrati+
     87 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
     88 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     90 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     92 root      rt   0       0      0      0 S   0.0   0.0   0:03.19 migrati+
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftir+
     94 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     96 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
     97 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     98 root      rt   0       0      0      0 S   0.0   0.0   0:03.20 migrati+
     99 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    100 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    103 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    104 root      rt   0       0      0      0 S   0.0   0.0   0:03.21 migrati+
    105 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
    106 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    107 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    108 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/16
    109 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    110 root      rt   0       0      0      0 S   0.0   0.0   0:03.21 migrati+
    111 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftir+
    112 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    114 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/17
    115 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    116 root      rt   0       0      0      0 S   0.0   0.0   0:03.22 migrati+
