PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 814780 root      20   0   32.1g  80308   8976 R  81.2   0.0   0:00.13 ego-host
 814780 root      20   0   32.1g   7.1g   7.1g R 100.0   1.4   0:05.32 ego-host
 814780 root      20   0   32.1g  14.3g  14.2g R 100.0   2.9   0:10.51 ego-host
 814780 root      20   0   32.1g  21.4g  21.3g R 100.0   4.3   0:15.70 ego-host
 814780 root      20   0   32.1g  28.5g  28.5g R 100.0   5.7   0:20.89 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 787.5   6.3   0:43.33 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 741.2   6.3   1:23.10 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 775.0   6.3   2:03.10 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 806.2   6.3   2:43.19 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 781.2   6.3   3:22.82 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 729.4   6.3   4:02.63 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 762.5   6.3   4:42.64 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 800.0   6.3   5:22.71 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 752.9   6.3   6:02.56 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 800.0   6.3   6:42.62 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 756.2   6.3   7:22.52 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 756.2   6.3   8:02.66 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 741.2   6.3   8:42.78 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 787.5   6.3   9:22.90 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 787.5   6.3  10:03.15 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 705.9   6.3  10:43.29 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 711.8   6.3  11:23.34 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 747.1   6.3  12:03.56 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 787.5   6.3  12:43.72 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 781.2   6.3  13:23.88 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 768.8   6.3  14:03.89 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 747.1   6.3  14:43.88 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 717.6   6.3  15:23.93 ego-host
 814780 root      20   0   34.0g  31.4g  31.4g S 781.2   6.3  16:03.92 ego-host
 814780 root      20   0       0      0      0 R 100.0   0.0  16:43.93 ego-host
