PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 946785 root      20   0   32.1g  76196   4856 R  81.2   0.0   0:00.13 ego-host
 946785 root      20   0   32.1g  76208   4856 R 100.0   0.0   0:05.31 ego-host
 946785 root      20   0   32.1g  76208   4856 R 100.0   0.0   0:10.51 ego-host
 946785 root      20   0   32.1g  76208   4856 R 100.0   0.0   0:15.70 ego-host
 946785 root      20   0   32.1g  76208   4856 R 100.0   0.0   0:20.89 ego-host
 946785 root      20   0   32.1g  76208   4856 R  94.1   0.0   0:26.07 ego-host
 946785 root      20   0   32.1g  76208   4856 R 100.0   0.0   0:31.27 ego-host
 946785 root      20   0   32.1g  76208   4856 R  94.1   0.0   0:36.45 ego-host
 946785 root      20   0   32.1g  76208   4856 R 100.0   0.0   0:41.65 ego-host
 946785 root      20   0   32.1g  76208   4856 R 100.0   0.0   0:46.84 ego-host
 946785 root      20   0   32.1g  76208   4856 R 100.0   0.0   0:52.03 ego-host
 946785 root      20   0   32.1g  76208   4856 R 100.0   0.0   0:57.21 ego-host
 946785 root      20   0   32.1g  76208   4856 R  94.1   0.0   1:02.40 ego-host
 946785 root      20   0   32.1g  76208   4856 R  94.1   0.0   1:07.59 ego-host
 946785 root      20   0   32.1g  76208   4856 R  94.1   0.0   1:12.78 ego-host
 946785 root      20   0   32.1g  76208   4856 R  94.1   0.0   1:17.97 ego-host
 946785 root      20   0   34.0g   6132   5180 S 141.2   0.0   1:23.81 ego-host
 946785 root      20   0   34.0g   6156   5180 S 382.4   0.0   1:43.84 ego-host
 946785 root      20   0   34.0g   6156   5180 S 376.5   0.0   2:07.68 ego-host
 946785 root      20   0   34.0g   6156   5180 S 405.9   0.0   2:31.72 ego-host
 946785 root      20   0   34.0g   6156   5180 S 458.8   0.0   2:55.48 ego-host
 946785 root      20   0   34.0g   6156   5180 S 382.4   0.0   3:19.26 ego-host
 946785 root      20   0   34.0g   6156   5180 S 382.4   0.0   3:43.14 ego-host
 946785 root      20   0   34.0g   6156   5180 S 394.1   0.0   4:07.32 ego-host
 946785 root      20   0   34.0g   6156   5180 S 725.0   0.0   4:31.21 ego-host
 946785 root      20   0   34.0g   6156   5180 S 382.4   0.0   4:54.77 ego-host
 946785 root      20   0   34.0g   6156   5180 S 388.2   0.0   5:18.95 ego-host
 946785 root      20   0   34.0g   6172   5180 S 382.4   0.0   5:42.90 ego-host
