PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3  18:10.25 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 229.4   6.3  18:26.95 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 570.6   6.3  18:43.26 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 250.0   6.3  18:59.10 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3  19:15.49 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3  19:31.91 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3  19:48.14 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 552.9   6.3  20:04.52 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3  20:20.14 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 250.0   6.3  20:36.39 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 250.0   6.3  20:52.64 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 250.0   6.3  21:08.88 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 223.5   6.3  21:25.23 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3  21:41.35 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3  21:57.50 ego-host
