PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 760150 root      20   0   32.1g  80604   9272 R  76.5   0.0   0:00.13 ego-host
 760150 root      20   0   32.1g   7.1g   7.0g R 100.0   1.4   0:05.33 ego-host
 760150 root      20   0   32.1g  14.1g  14.1g R 100.0   2.8   0:10.51 ego-host
 760150 root      20   0   32.1g  21.1g  21.1g R 100.0   4.2   0:15.71 ego-host
 760150 root      20   0   32.1g  28.1g  28.0g R 100.0   5.6   0:20.90 ego-host
 760150 root      20   0   33.7g  31.4g  31.4g S 858.8   6.3   0:44.10 ego-host
 760150 root      20   0   33.8g  31.4g  31.4g S 918.8   6.3   1:31.02 ego-host
 760150 root      20   0   33.8g  31.4g  31.4g S 893.8   6.3   2:17.49 ego-host
 760150 root      20   0   33.8g  31.4g  31.4g S 882.4   6.3   3:04.53 ego-host
 760150 root      20   0   33.9g  31.4g  31.4g S 962.5   6.3   3:51.41 ego-host
 760150 root      20   0   33.9g  31.4g  31.4g S 931.2   6.3   4:38.45 ego-host
 760150 root      20   0   34.0g  31.4g  31.4g S 912.5   6.3   5:25.79 ego-host
 760150 root      20   0   34.0g  31.4g  31.4g S 858.8   6.3   6:13.18 ego-host
 760150 root      20   0   34.0g  31.4g  31.4g S 912.5   6.3   7:00.39 ego-host
 760150 root      20   0   34.0g  31.4g  31.4g S 912.5   6.3   7:47.28 ego-host
 760150 root      20   0   34.0g  31.4g  31.4g S 835.3   6.3   8:34.13 ego-host
 760150 root      20   0       0      0      0 R 100.0   0.0   9:17.20 ego-host
