PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1278584 root      20   0   32.1g  77440   6072 R  81.2   0.0   0:00.13 ego-host
1278584 root      20   0   32.1g   6.7g   6.7g R  94.1   1.3   0:05.32 ego-host
1278584 root      20   0   32.1g  13.7g  13.7g R 100.0   2.8   0:10.51 ego-host
1278584 root      20   0   32.1g  20.8g  20.7g R  94.1   4.2   0:15.70 ego-host
1278584 root      20   0   32.1g  27.8g  27.8g R 100.0   5.6   0:20.90 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S  94.1   6.3   0:27.64 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 100.0   6.3   0:35.01 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 464.7   6.3   0:54.08 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 500.0   6.3   1:22.99 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 523.5   6.3   1:49.67 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 531.2   6.3   2:18.78 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 506.2   6.3   2:47.71 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 570.6   6.3   3:15.86 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 488.2   6.3   3:41.60 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 476.5   6.3   4:09.87 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 488.2   6.3   4:38.23 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 537.5   6.3   5:06.81 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 500.0   6.3   5:33.63 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 500.0   6.3   6:03.07 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 476.5   6.3   6:32.45 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 482.4   6.3   6:58.18 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 482.4   6.3   7:26.77 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 488.2   6.3   7:54.74 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 488.2   6.3   8:23.33 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 552.9   6.3   8:52.58 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 506.2   6.3   9:18.12 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 506.2   6.3   9:46.34 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 476.5   6.3  10:14.80 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 523.5   6.3  10:43.59 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 523.5   6.3  11:11.55 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 500.0   6.3  11:41.79 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 494.1   6.3  12:08.71 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3  12:38.93 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3  13:06.74 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 482.4   6.3  13:35.26 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 488.2   6.3  14:03.79 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3  14:32.43 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  14:59.28 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 488.2   6.3  15:27.55 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 470.6   6.3  15:55.86 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 476.5   6.3  16:24.13 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 525.0   6.3  16:52.51 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 512.5   6.3  17:18.88 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3  17:48.24 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  18:17.55 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  18:44.44 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 470.6   6.3  19:13.20 ego-host
1278584 root      20   0   34.0g  31.4g  31.4g S 494.1   6.3  19:41.94 ego-host
