 943070 root      20   0   32.1g  76120   4792 R  81.2   0.0   0:00.13 ego-host
 943070 root      20   0   32.1g   7.1g   7.0g R 100.0   1.4   0:05.32 ego-host
 943070 root      20   0   32.1g  14.2g  14.1g R 100.0   2.8   0:10.51 ego-host
 943070 root      20   0   32.1g  21.1g  21.0g R 100.0   4.2   0:15.70 ego-host
 943070 root      20   0   32.1g  28.1g  28.0g R 100.0   5.6   0:20.89 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 593.8   6.3   0:30.05 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 223.5   6.3   0:45.79 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   1:02.34 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 250.0   6.3   1:18.62 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 256.2   6.3   1:34.34 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   1:50.49 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   2:06.94 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 658.8   6.3   2:23.25 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 229.4   6.3   2:39.17 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   2:55.68 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 658.8   6.3   3:12.29 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   3:28.10 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 287.5   6.3   3:44.73 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 243.8   6.3   4:00.78 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   4:17.57 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 247.1   6.3   4:33.68 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   4:50.23 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   5:06.06 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 229.4   6.3   5:22.70 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 250.0   6.3   5:39.23 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 452.9   6.3   5:55.51 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 229.4   6.3   6:11.32 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   6:27.66 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 256.2   6.3   6:44.02 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 250.0   6.3   6:59.74 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 256.2   6.3   7:15.92 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   7:31.91 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   7:48.11 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   8:04.48 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 541.2   6.3   8:20.52 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 558.8   6.3   8:36.49 ego-host
 943070 root      20   0   34.0g  31.4g  31.4g S 594.1   6.3   8:52.68 ego-host
