PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 797879 root      20   0   32.1g  79380   8052 R  81.2   0.0   0:00.13 ego-host
 797879 root      20   0   32.1g   7.0g   6.9g R 100.0   1.4   0:05.32 ego-host
 797879 root      20   0   32.1g  14.0g  13.9g R 100.0   2.8   0:10.51 ego-host
 797879 root      20   0   32.1g  21.0g  20.9g R 100.0   4.2   0:15.70 ego-host
 797879 root      20   0   32.1g  28.0g  27.9g R 100.0   5.6   0:20.90 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 458.8   6.3   0:34.42 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 481.2   6.3   0:59.31 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 464.7   6.3   1:24.33 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 487.5   6.3   1:49.29 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 481.2   6.3   2:14.31 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 464.7   6.3   2:40.06 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 506.2   6.3   3:04.99 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 464.7   6.3   3:29.79 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 493.8   6.3   3:55.39 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 458.8   6.3   4:20.29 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 452.9   6.3   4:45.13 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 468.8   6.3   5:09.97 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 435.3   6.3   5:34.97 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 506.2   6.3   5:59.87 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 487.5   6.3   6:24.71 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 481.2   6.3   6:49.58 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 493.8   6.3   7:14.25 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 476.5   6.3   7:39.06 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 493.8   6.3   8:04.05 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 458.8   6.3   8:29.17 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 447.1   6.3   8:54.03 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 487.5   6.3   9:18.86 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 456.2   6.3   9:43.41 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 487.5   6.3  10:08.12 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 464.7   6.3  10:32.93 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 470.6   6.3  10:57.71 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 481.2   6.3  11:22.48 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 487.5   6.3  11:47.31 ego-host
 797879 root      20   0   34.0g  31.4g  31.4g S 464.7   6.3  12:12.12 ego-host
