PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 882977 root      20   0   32.1g  77864   6532 R  76.5   0.0   0:00.13 ego-host
 882977 root      20   0   32.1g   7.1g   7.0g R  94.1   1.4   0:05.32 ego-host
 882977 root      20   0   32.1g  14.1g  14.1g R 100.0   2.8   0:10.51 ego-host
 882977 root      20   0   32.1g  21.2g  21.1g R 100.0   4.2   0:15.70 ego-host
 882977 root      20   0   32.1g  28.3g  28.2g R  94.1   5.7   0:20.88 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 688.2   6.3   0:40.68 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 717.6   6.3   1:18.45 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 741.2   6.3   1:56.02 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 676.5   6.3   2:33.43 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 711.8   6.3   3:10.76 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 741.2   6.3   3:47.96 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 694.1   6.3   4:25.34 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 723.5   6.3   5:02.88 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 688.2   6.3   5:40.66 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 641.2   6.3   6:18.05 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 676.5   6.3   6:55.48 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 688.2   6.3   7:32.62 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 729.4   6.3   8:10.64 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 741.2   6.3   8:48.34 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 706.2   6.3   9:25.60 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 762.5   6.3  10:03.21 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 694.1   6.3  10:40.79 ego-host
 882977 root      20   0   34.0g  31.4g  31.4g S 682.4   6.3  11:18.74 ego-host
 882977 root      20   0       0      0      0 R 100.0   0.0  11:51.68 ego-host
