PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 857739 root      20   0   32.1g  81120   9788 R  81.2   0.0   0:00.13 ego-host
 857739 root      20   0   32.1g   7.0g   7.0g R 100.0   1.4   0:05.32 ego-host
 857739 root      20   0   32.1g  14.1g  14.0g R 100.0   2.8   0:10.51 ego-host
 857739 root      20   0   32.1g  21.1g  21.0g R 100.0   4.2   0:15.70 ego-host
 857739 root      20   0   32.1g  28.1g  28.1g R 100.0   5.6   0:20.89 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 250.0   6.3   0:28.42 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 129.4   6.3   0:38.77 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 223.5   6.3   0:49.30 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 211.8   6.3   1:00.14 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   1:11.10 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 217.6   6.3   1:22.06 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 237.5   6.3   1:32.88 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 150.0   6.3   1:43.60 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   1:54.72 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   2:05.59 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 141.2   6.3   2:16.45 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 205.9   6.3   2:27.52 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 143.8   6.3   2:38.54 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 137.5   6.3   2:49.51 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 237.5   6.3   3:00.67 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 229.4   6.3   3:11.82 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   3:23.06 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   3:34.23 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 243.8   6.3   3:45.46 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 256.2   6.3   3:56.68 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 211.8   6.3   4:07.73 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 229.4   6.3   4:18.80 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 129.4   6.3   4:29.71 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 217.6   6.3   4:40.69 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 129.4   6.3   4:51.69 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 143.8   6.3   5:02.90 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   5:14.17 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 223.5   6.3   5:25.47 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 141.2   6.3   5:36.81 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 200.0   6.3   5:48.21 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 141.2   6.3   5:59.61 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 225.0   6.3   6:11.12 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 143.8   6.3   6:22.30 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 143.8   6.3   6:33.83 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   6:45.57 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 223.5   6.3   6:57.08 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 135.3   6.3   7:08.63 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   7:20.90 ego-host
 857739 root      20   0   34.0g  31.4g  31.4g S 258.8   6.3   7:33.00 ego-host
 857739 root      20   0       0      0      0 R 100.0   0.0   7:41.34 ego-host
