PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 946574 root      20   0   32.1g  76124   4792 R  81.2   0.0   0:00.13 ego-host
 946574 root      20   0   32.1g   7.0g   7.0g R 100.0   1.4   0:05.32 ego-host
 946574 root      20   0   32.1g  14.1g  14.0g R 100.0   2.8   0:10.51 ego-host
 946574 root      20   0   32.1g  21.1g  21.1g R 100.0   4.2   0:15.69 ego-host
 946574 root      20   0   32.1g  28.2g  28.1g R 100.0   5.6   0:20.89 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 387.5   6.3   0:31.88 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 411.8   6.3   0:54.84 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   1:17.94 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 550.0   6.3   1:41.04 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   2:04.01 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   2:27.02 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 405.9   6.3   2:50.27 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 364.7   6.3   3:12.89 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   3:36.28 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3   3:59.49 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 605.9   6.3   4:22.66 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   4:45.65 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   5:08.80 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 381.2   6.3   5:32.13 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 635.3   6.3   5:55.41 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   6:18.00 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 352.9   6.3   6:40.80 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 382.4   6.3   7:03.78 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 652.9   6.3   7:26.74 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 606.2   6.3   7:49.36 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 370.6   6.3   8:11.74 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 352.9   6.3   8:34.28 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 381.2   6.3   8:56.92 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 381.2   6.3   9:19.35 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 364.7   6.3   9:42.06 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 364.7   6.3  10:04.65 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3  10:27.44 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 381.2   6.3  10:50.03 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 352.9   6.3  11:12.26 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 352.9   6.3  11:34.67 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 600.0   6.3  11:57.34 ego-host
 946574 root      20   0   34.0g  31.4g  31.4g S 618.8   6.3  12:20.05 ego-host
