PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 936268 root      20   0   32.1g  77876   6544 R  81.2   0.0   0:00.13 ego-host
 936268 root      20   0   32.1g   7.1g   7.0g R 100.0   1.4   0:05.32 ego-host
 936268 root      20   0   32.1g  14.2g  14.1g R 100.0   2.8   0:10.51 ego-host
 936268 root      20   0   32.1g  21.3g  21.2g R 100.0   4.3   0:15.69 ego-host
 936268 root      20   0   32.1g  28.4g  28.3g R 100.0   5.7   0:20.88 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 300.0   6.3   0:30.76 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 323.5   6.3   0:49.27 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3   1:07.26 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 264.7   6.3   1:25.15 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3   1:43.54 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 381.2   6.3   2:01.44 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 547.1   6.3   2:19.35 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 264.7   6.3   2:37.27 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3   2:55.23 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 594.1   6.3   3:12.66 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 562.5   6.3   3:30.08 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3   3:47.25 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 547.1   6.3   4:04.80 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3   4:21.99 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 293.8   6.3   4:40.38 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 300.0   6.3   4:58.25 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 270.6   6.3   5:16.13 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 611.8   6.3   5:34.50 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3   5:52.75 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 570.6   6.3   6:10.88 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3   6:28.30 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 270.6   6.3   6:46.63 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 258.8   6.3   7:04.39 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 270.6   6.3   7:22.77 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 264.7   6.3   7:40.54 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3   7:58.69 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 270.6   6.3   8:16.47 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 306.2   6.3   8:35.14 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 293.8   6.3   8:53.57 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3   9:11.83 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3   9:30.26 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3   9:48.49 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 300.0   6.3  10:06.43 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 294.1   6.3  10:25.12 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 288.2   6.3  10:43.34 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 576.5   6.3  11:01.33 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3  11:19.26 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 288.2   6.3  11:37.16 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 288.2   6.3  11:54.95 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 270.6   6.3  12:13.19 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 264.7   6.3  12:30.21 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 288.2   6.3  12:48.37 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 664.7   6.3  13:06.69 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 264.7   6.3  13:24.36 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 612.5   6.3  13:42.58 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 270.6   6.3  14:00.42 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3  14:18.20 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 611.8   6.3  14:36.22 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 293.8   6.3  14:53.27 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 270.6   6.3  15:11.42 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3  15:29.27 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 268.8   6.3  15:47.58 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 600.0   6.3  16:05.71 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3  16:23.36 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 288.2   6.3  16:41.46 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 668.8   6.3  16:59.21 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 281.2   6.3  17:16.96 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 576.5   6.3  17:34.96 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3  17:52.40 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3  18:10.31 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3  18:28.34 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3  18:45.91 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 281.2   6.3  19:03.86 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 264.7   6.3  19:21.76 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3  19:39.76 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 247.1   6.3  19:56.60 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 264.7   6.3  20:14.10 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 288.2   6.3  20:32.04 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 576.5   6.3  20:50.10 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 270.6   6.3  21:08.22 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 647.1   6.3  21:26.33 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 576.5   6.3  21:43.78 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 300.0   6.3  22:01.45 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3  22:19.45 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 264.7   6.3  22:36.88 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3  22:54.73 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3  23:12.48 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 287.5   6.3  23:30.16 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3  23:48.43 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 311.8   6.3  24:05.90 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 264.7   6.3  24:23.50 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3  24:41.18 ego-host
 936268 root      20   0   34.0g  31.4g  31.4g S 270.6   6.3  24:58.55 ego-host
