PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1351211 root      20   0   34.0g  31.4g  31.4g S  1159   6.3 832:57.75 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1147   6.3 834:01.76 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1256   6.3 835:04.34 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1235   6.3 836:08.55 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 837:11.14 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1135   6.3 838:13.47 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1129   6.3 839:17.25 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1225   6.3 840:18.94 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1219   6.3 841:22.57 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1141   6.3 842:24.67 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1229   6.3 843:28.63 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1147   6.3 844:31.12 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1225   6.3 845:33.31 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 846:37.19 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1159   6.3 847:39.67 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1219   6.3 848:43.60 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1238   6.3 849:45.82 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 850:48.29 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1141   6.3 851:52.43 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1225   6.3 852:55.06 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1165   6.3 853:59.45 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 855:01.98 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1165   6.3 856:04.54 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 857:08.62 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1206   6.3 858:10.87 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1135   6.3 859:14.15 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1147   6.3 860:16.37 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1624   6.3 861:19.74 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1147   6.3 862:23.21 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1147   6.3 863:25.51 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 864:29.40 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1225   6.3 865:31.68 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1206   6.3 866:33.94 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1219   6.3 867:37.84 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1141   6.3 868:39.95 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1165   6.3 869:44.17 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 870:47.15 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1159   6.3 871:49.75 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1141   6.3 872:53.75 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1141   6.3 873:56.33 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1159   6.3 875:00.56 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1238   6.3 876:03.12 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 877:05.71 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1225   6.3 878:09.83 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1194   6.3 879:12.45 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1629   6.3 880:16.40 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1225   6.3 881:19.16 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1244   6.3 882:21.60 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1141   6.3 883:25.83 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 884:28.15 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 885:30.62 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1147   6.3 886:34.93 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1231   6.3 887:37.59 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 888:41.79 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1159   6.3 889:43.95 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1200   6.3 890:46.40 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1141   6.3 891:50.38 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1212   6.3 892:52.79 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1225   6.3 893:56.89 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1231   6.3 894:59.39 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1225   6.3 896:01.97 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 897:06.01 ego-host
