PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1188821 root      20   0 1843432  60792   3264 S 141.2   0.0   0:00.24 exe
1188821 root      20   0   10.3g   1.7g   3264 S  94.1   0.3   0:42.00 exe
1188821 root      20   0   11.9g   3.3g   3264 S 100.0   0.7   1:20.16 exe
1188821 root      20   0   13.2g   4.7g   3264 S 541.2   0.9   1:48.74 exe
1188821 root      20   0   14.4g   5.9g   3264 S 641.2   1.2   2:46.09 exe
1188821 root      20   0   14.4g   5.9g   3264 S 547.1   1.2   3:15.15 exe
1188821 root      20   0   14.8g   6.3g   3264 S 541.2   1.3   3:44.18 exe
1188821 root      20   0   15.2g   6.6g   3264 S 541.2   1.3   4:28.06 exe
1188821 root      20   0   15.2g   6.6g   3264 S 547.1   1.3   4:57.29 exe
1188821 root      20   0   15.3g   6.7g   3264 S 529.4   1.3   5:46.25 exe
1188821 root      20   0   15.3g   6.7g   3264 S 529.4   1.3   6:15.36 exe
1188821 root      20   0   15.3g   6.7g   3264 S 587.5   1.3   7:02.25 exe
1188821 root      20   0   15.3g   6.7g   3264 S 581.2   1.3   7:32.02 exe
1188821 root      20   0   15.3g   6.7g   3264 S 541.2   1.3   8:22.41 exe
1188821 root      20   0   15.3g   6.7g   3264 S 552.9   1.3   8:51.91 exe
1188821 root      20   0   15.3g   6.7g   3264 S 556.2   1.3   9:43.70 exe
1188821 root      20   0   15.3g   6.7g   3264 S 535.3   1.3  10:12.52 exe
1188821 root      20   0   15.3g   6.7g   3264 S 547.1   1.3  11:02.38 exe
1188821 root      20   0   15.3g   6.7g   3264 S 581.2   1.3  11:31.90 exe
1188821 root      20   0   15.3g   6.7g   3264 S 568.8   1.3  12:19.24 exe
1188821 root      20   0   15.3g   6.7g   3264 S 541.2   1.3  12:48.38 exe
1188821 root      20   0   15.3g   6.7g   3264 S 587.5   1.3  13:17.71 exe
1188821 root      20   0   15.3g   6.7g   3264 S 558.8   1.3  14:02.71 exe
1188821 root      20   0   15.3g   6.7g   3264 S 637.5   1.3  14:53.67 exe
1188821 root      20   0   15.3g   6.7g   3264 S 581.2   1.3  15:23.84 exe
1188821 root      20   0   15.3g   6.7g   3264 S 593.8   1.3  15:53.69 exe
1188821 root      20   0   15.3g   6.7g   3264 S 517.6   1.3  16:43.20 exe
1188821 root      20   0   15.3g   6.7g   3264 S 547.1   1.3  17:12.39 exe
