PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 854501 root      20   0   32.1g  79944   8612 R  82.4   0.0   0:00.14 ego-host
 854501 root      20   0   32.1g   7.1g   7.1g R  94.1   1.4   0:05.32 ego-host
 854501 root      20   0   32.1g  14.3g  14.2g R 100.0   2.9   0:10.52 ego-host
 854501 root      20   0   32.1g  21.4g  21.3g R  94.1   4.3   0:15.70 ego-host
 854501 root      20   0   32.1g  28.5g  28.4g R 100.0   5.7   0:20.90 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 381.2   6.3   0:32.47 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 368.8   6.3   0:51.14 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   1:09.70 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 305.9   6.3   1:28.05 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 368.8   6.3   1:46.33 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 337.5   6.3   2:04.92 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 350.0   6.3   2:23.38 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 362.5   6.3   2:41.75 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 356.2   6.3   3:00.19 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 343.8   6.3   3:18.36 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 335.3   6.3   3:36.94 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 329.4   6.3   3:55.46 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 412.5   6.3   4:13.95 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 350.0   6.3   4:32.54 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 368.8   6.3   4:51.18 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 394.1   6.3   5:09.42 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 341.2   6.3   5:27.85 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   5:46.38 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 362.5   6.3   6:05.25 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 317.6   6.3   6:23.78 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 347.1   6.3   6:42.63 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 323.5   6.3   7:01.45 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 450.0   6.3   7:20.65 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 368.8   6.3   7:39.89 ego-host
 854501 root      20   0   34.0g  31.4g  31.4g S 431.2   6.3   7:59.06 ego-host
 854501 root      20   0       0      0      0 R 100.0   0.0   8:12.75 ego-host
