PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 860276 root      20   0   32.1g  78120   6788 R  76.5   0.0   0:00.13 ego-host
 860276 root      20   0   32.1g   7.1g   7.0g R  94.1   1.4   0:05.32 ego-host
 860276 root      20   0   32.1g  14.1g  14.1g R 100.0   2.8   0:10.52 ego-host
 860276 root      20   0   32.1g  21.2g  21.2g R 100.0   4.2   0:15.70 ego-host
 860276 root      20   0   32.1g  28.3g  28.2g R 100.0   5.7   0:20.89 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 294.1   6.3   0:31.02 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3   0:47.17 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3   1:03.13 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3   1:19.12 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 288.2   6.3   1:35.19 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 318.8   6.3   1:51.19 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 375.0   6.3   2:07.39 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3   2:23.11 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 288.2   6.3   2:39.15 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 288.2   6.3   2:55.63 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 288.2   6.3   3:11.68 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 288.2   6.3   3:28.13 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 276.5   6.3   3:44.16 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 306.2   6.3   4:00.35 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 325.0   6.3   4:16.62 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 293.8   6.3   4:32.94 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 312.5   6.3   4:49.36 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 318.8   6.3   5:05.71 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 331.2   6.3   5:22.43 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 306.2   6.3   5:38.79 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 294.1   6.3   5:55.68 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 311.8   6.3   6:12.72 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3   6:29.17 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 341.2   6.3   6:45.96 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 370.6   6.3   7:02.68 ego-host
 860276 root      20   0   34.0g  31.4g  31.4g S 312.5   6.3   7:19.44 ego-host
