PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 922080 root      20   0   34.0g  31.4g  31.4g S 194.1   6.3  15:03.43 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 529.4   6.3  15:16.93 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 188.2   6.3  15:29.70 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 194.1   6.3  15:43.35 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 223.5   6.3  15:56.81 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 500.0   6.3  16:10.00 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 200.0   6.3  16:23.14 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 200.0   6.3  16:36.97 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 200.0   6.3  16:50.40 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 206.2   6.3  17:04.37 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 468.8   6.3  17:17.96 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 194.1   6.3  17:31.29 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 188.2   6.3  17:44.79 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 194.1   6.3  17:58.57 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 188.2   6.3  18:11.57 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 176.5   6.3  18:25.51 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 558.8   6.3  18:39.59 ego-host
 922080 root      20   0       0      0      0 R 100.0   0.0  18:50.39 ego-host
