PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 814142 root      20   0 2171764  21652   3136 S 412.5   0.0   0:00.66 exe
 814142 root      20   0 3491480  31208   3136 S 629.4   0.0   0:33.71 exe
 814142 root      20   0 3557324  32792   3136 S 612.5   0.0   1:07.16 exe
 814142 root      20   0 3623168  32904   3136 R 623.5   0.0   1:40.84 exe
 814142 root      20   0 3623168  33560   3184 S 662.5   0.0   2:14.93 exe
 814142 root      20   0 3623424  33984   3184 S 637.5   0.0   2:48.78 exe
 814142 root      20   0 3623424  33984   3184 S 641.2   0.0   3:22.76 exe
 814142 root      20   0 3623424  33984   3184 S 668.8   0.0   3:56.92 exe
 814142 root      20   0 3689276  34112   3184 S 656.2   0.0   4:30.94 exe
 814142 root      20   0 3689276  34512   3184 S 647.1   0.0   5:05.16 exe
 814142 root      20   0 3689276  34512   3184 S 637.5   0.0   5:39.44 exe
 814142 root      20   0 3689276  34512   3184 S 662.5   0.0   6:13.50 exe
 814142 root      20   0 3689276  34512   3184 S 600.0   0.0   6:47.34 exe
 814142 root      20   0 3689276  34512   3184 S 637.5   0.0   7:21.21 exe
 814142 root      20   0 3689276  34512   3184 S 662.5   0.0   7:55.01 exe
 814142 root      20   0 3689276  34512   3184 S 643.8   0.0   8:28.64 exe
 814142 root      20   0 3689276  34512   3184 S 652.9   0.0   9:03.06 exe
 814142 root      20   0 3689276  35244   3184 S 681.2   0.0   9:37.57 exe
 814142 root      20   0 3689276  35244   3184 R 629.4   0.0  10:11.84 exe
 814142 root      20   0 3689276  35244   3184 S 675.0   0.0  10:46.30 exe
 814142 root      20   0 3755120  35360   3184 S 668.8   0.0  11:20.46 exe
 814142 root      20   0 3755120  35536   3184 S 629.4   0.0  11:54.73 exe
 814142 root      20   0 3755376  35540   3184 S 656.2   0.0  12:29.26 exe
 814142 root      20   0 3755376  35540   3184 S 687.5   0.0  13:03.61 exe
 814142 root      20   0 3755376  35540   3184 S 652.9   0.0  13:38.28 exe
 814142 root      20   0 3755376  35540   3184 R 637.5   0.0  14:13.02 exe
 814142 root      20   0 3755376  35540   3184 R 623.5   0.0  14:48.10 exe
 814142 root      20   0 3755376  35540   3184 S 662.5   0.0  15:22.23 exe
 814142 root      20   0 3755376  35540   3184 S 623.5   0.0  15:56.50 exe
 814142 root      20   0 3755376  35540   3184 S 706.2   0.0  16:31.04 exe
 814142 root      20   0 3755376  35540   3184 S 662.5   0.0  17:05.64 exe
 814142 root      20   0 3755376  35540   3184 S 611.8   0.0  17:40.88 exe
 814142 root      20   0 3755376  35540   3184 S 700.0   0.0  18:15.59 exe
 814142 root      20   0 3887064  35548   3184 S 629.4   0.0  18:51.48 exe
 814142 root      20   0 3887064  35548   3184 S 712.5   0.0  19:26.02 exe
 814142 root      20   0 3887064  35548   3184 S 605.9   0.0  20:01.85 exe
