PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 910938 root      20   0 1909220  54244   3196 R 431.2   0.0   0:00.69 exe
 910938 root      20   0 6131696 108212   3196 S  1353   0.0   1:16.66 exe
 910938 root      20   0 6329236 113576   3196 S  1394   0.0   2:30.70 exe
 910938 root      20   0 6856244 115820   3196 S  1571   0.0   3:47.39 exe
 910938 root      20   0 6856500 118876   3196 S  1341   0.0   5:01.69 exe
 910938 root      20   0 6856756 119260   3196 S  1500   0.0   6:16.57 exe
 910938 root      20   0 6988452 121648   3248 S  1347   0.0   7:34.49 exe
 910938 root      20   0 7120140 121996   3248 S  1688   0.0   8:51.41 exe
 910938 root      20   0 7120140 122280   3268 S  1424   0.0  10:04.88 exe
 910938 root      20   0 7120140 122288   3268 S  1253   0.0  11:17.97 exe
 910938 root      20   0 7120140 122668   3268 S  1400   0.0  12:33.86 exe
 910938 root      20   0 7383516 122800   3268 S  1447   0.0  13:50.23 exe
 910938 root      20   0 7383772 122800   3268 S  1335   0.0  15:04.06 exe
 910938 root      20   0 7515736 123124   3268 S  1165   0.0  16:19.73 exe
 910938 root      20   0 7581580 123220   3268 S  1206   0.0  17:38.03 exe
 910938 root      20   0 7581580 124152   3268 S  1347   0.0  18:54.20 exe
 910938 root      20   0 7581580 124608   3268 S  1335   0.0  20:06.91 exe
 910938 root      20   0 7581580 124608   3268 S  1412   0.0  21:19.72 exe
 910938 root      20   0 7581580 124608   3268 S  1424   0.0  22:32.17 exe
 910938 root      20   0 7581580 124608   3268 S  1306   0.0  23:48.62 exe
 910938 root      20   0 7581580 124608   3268 S  1229   0.0  25:02.39 exe
 910938 root      20   0 7647424 124716   3268 S  1235   0.0  26:19.87 exe
 910938 root      20   0 7779112 125004   3268 R  1262   0.0  27:35.37 exe
 910938 root      20   0 7779112 125004   3268 R  1324   0.0  28:48.18 exe
 910938 root      20   0 7779112 125004   3268 R  1376   0.0  30:01.59 exe
 910938 root      20   0 7779112 126124   3268 S  1359   0.0  31:13.54 exe
 910938 root      20   0 7779112 126132   3268 S  1341   0.0  32:25.79 exe
 910938 root      20   0 7779112 126132   3268 S  1494   0.0  33:38.95 exe
 910938 root      20   0 7910808 126636   3268 S  1406   0.0  34:56.04 exe
 910938 root      20   0 7910808 126636   3268 S  1482   0.0  36:10.41 exe
 910938 root      20   0 7910808 126636   3268 S  1318   0.0  37:25.37 exe
