PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 812013 root      20   0   32.1g  79252   7924 R  76.5   0.0   0:00.13 ego-host
 812013 root      20   0   32.1g   7.1g   7.0g R  94.1   1.4   0:05.32 ego-host
 812013 root      20   0   32.1g  14.2g  14.1g R 100.0   2.8   0:10.51 ego-host
 812013 root      20   0   32.1g  21.3g  21.2g R 100.0   4.3   0:15.70 ego-host
 812013 root      20   0   32.1g  28.4g  28.3g R 100.0   5.7   0:20.88 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 505.9   6.3   0:36.56 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 531.2   6.3   1:03.73 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 537.5   6.3   1:31.09 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3   1:58.94 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3   2:26.44 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 556.2   6.3   2:54.05 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3   3:21.77 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 550.0   6.3   3:49.63 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 525.0   6.3   4:17.38 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3   4:44.99 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3   5:12.76 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3   5:40.54 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 525.0   6.3   6:07.90 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 482.4   6.3   6:35.42 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 531.2   6.3   7:03.05 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 531.2   6.3   7:30.28 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 556.2   6.3   7:57.88 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 550.0   6.3   8:25.65 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 562.5   6.3   8:53.47 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 523.5   6.3   9:21.13 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 525.0   6.3   9:48.86 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 537.5   6.3  10:16.65 ego-host
 812013 root      20   0   34.0g  31.4g  31.4g S 505.9   6.3  10:44.70 ego-host
