PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 839659 root      20   0 4083248  12584   2332 R  1241   0.0   0:02.18 mini-li
 839659 root      20   0 4747348  12024   2420 S  1375   0.0   1:10.35 mini-li
 839659 root      20   0 4747348  11412   2420 R  1356   0.0   2:19.23 mini-li
 839659 root      20   0 4747348  11884   2420 S  1253   0.0   3:28.53 mini-li
 839659 root      20   0 4747348  14128   2420 S  1312   0.0   4:37.28 mini-li
 839659 root      20   0 4747348  13064   2420 S  1381   0.0   5:45.32 mini-li
 839659 root      20   0 4821080  12636   2420 S  1306   0.0   6:55.33 mini-li
 839659 root      20   0 4894812  12688   2420 S  1288   0.0   8:05.31 mini-li
 839659 root      20   0 4894812  12152   2420 S  1276   0.0   9:15.23 mini-li
 839659 root      20   0 4894812  12948   2420 S  1294   0.0  10:25.22 mini-li
 839659 root      20   0 4895068  12840   2420 R  1288   0.0  11:34.83 mini-li
 839659 root      20   0 5116520  12268   2420 S  1312   0.0  12:45.11 mini-li
 839659 root      20   0 5117032  12236   2420 S  1235   0.0  13:55.20 mini-li
 839659 root      20   0 5117032  11568   2420 S  1388   0.0  15:04.98 mini-li
 839659 root      20   0 5117032  13524   2420 S  1362   0.0  16:15.01 mini-li
 839659 root      20   0 5117032  11820   2420 S  1271   0.0  17:24.29 mini-li
 839659 root      20   0 5117032  10780   2420 S  1282   0.0  18:33.93 mini-li
 839659 root      20   0 5117032  13304   2420 R  1356   0.0  19:43.63 mini-li
 839659 root      20   0 5117032  11512   2420 S  1247   0.0  20:53.20 mini-li
 839659 root      20   0 5117032  11584   2420 R  1271   0.0  22:02.92 mini-li
 839659 root      20   0 5117032  12144   2420 S  1241   0.0  23:11.64 mini-li
 839659 root      20   0 5117032  11728   2420 R  1288   0.0  24:20.63 mini-li
 839659 root      20   0 5117032  11508   2420 S  1369   0.0  25:30.28 mini-li
 839659 root      20   0 5117032  11700   2420 S  1406   0.0  26:40.14 mini-li
 839659 root      20   0 5117032  13372   2420 S  1324   0.0  27:49.65 mini-li
 839659 root      20   0 5190764  11844   2420 R  1294   0.0  28:59.50 mini-li
 839659 root      20   0 5190764  12524   2420 S  1344   0.0  30:09.73 mini-li
 839659 root      20   0 5190764  11228   2420 R  1400   0.0  31:19.97 mini-li
 839659 root      20   0 5190764  13576   2420 S  1362   0.0  32:29.43 mini-li
 839659 root      20   0 5190764  12296   2420 S  1288   0.0  33:38.76 mini-li
 839659 root      20   0 5190764  13224   2420 S  1288   0.0  34:48.21 mini-li
 839659 root      20   0 5190764  13480   2420 R  1369   0.0  35:57.03 mini-li
 839659 root      20   0 5190764  11836   2420 R  1241   0.0  37:06.34 mini-li
 839659 root      20   0 5190764  12648   2420 S  1300   0.0  38:15.92 mini-li
 839659 root      20   0 5190764  13132   2420 R  1194   0.0  39:25.10 mini-li
 839659 root      20   0 5190764  12632   2420 S  1282   0.0  40:34.06 mini-li
 839659 root      20   0 5190764  11636   2420 S  1369   0.0  41:43.46 mini-li
 839659 root      20   0 5190764  13432   2420 R  1294   0.0  42:53.09 mini-li
 839659 root      20   0 5190764  12808   2420 S  1331   0.0  44:02.09 mini-li
 839659 root      20   0 5190764  11768   2420 S  1306   0.0  45:11.91 mini-li
 839659 root      20   0 5190764  13644   2420 S  1444   0.0  46:21.70 mini-li
 839659 root      20   0 5190764  10848   2420 S  1318   0.0  47:30.84 mini-li
 839659 root      20   0 5190764  11884   2420 S  1229   0.0  48:40.15 mini-li
 839659 root      20   0 5190764  13620   2420 S  1369   0.0  49:49.36 mini-li
 839659 root      20   0 5190764  12296   2420 R  1247   0.0  50:58.61 mini-li
 839659 root      20   0 5190764  11460   2420 S  1375   0.0  52:08.22 mini-li
 839659 root      20   0 5190764  11608   2420 S  1288   0.0  53:17.82 mini-li
 839659 root      20   0 5190764  12660   2420 S  1369   0.0  54:27.37 mini-li
 839659 root      20   0 5190764  12360   2420 R  1362   0.0  55:37.01 mini-li
