PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 800973 root      20   0   32.1g  80208   8876 R  81.2   0.0   0:00.13 ego-host
 800973 root      20   0   32.1g   7.1g   7.0g R 100.0   1.4   0:05.32 ego-host
 800973 root      20   0   32.1g  14.1g  14.1g R 100.0   2.8   0:10.51 ego-host
 800973 root      20   0   32.1g  21.2g  21.1g R 100.0   4.2   0:15.70 ego-host
 800973 root      20   0   32.1g  28.3g  28.2g R 100.0   5.7   0:20.89 ego-host
 800973 root      20   0   33.8g  31.4g  31.4g S 358.8   6.3   0:32.75 ego-host
 800973 root      20   0   33.9g  31.4g  31.4g S 400.0   6.3   0:52.36 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 393.8   6.3   1:12.24 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3   1:31.81 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 387.5   6.3   1:51.35 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 387.5   6.3   2:10.89 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 364.7   6.3   2:30.40 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 375.0   6.3   2:50.03 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 381.2   6.3   3:09.83 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 406.2   6.3   3:29.67 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 381.2   6.3   3:49.34 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 381.2   6.3   4:09.13 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 364.7   6.3   4:29.08 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 381.2   6.3   4:48.92 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3   5:08.79 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 387.5   6.3   5:28.69 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 375.0   6.3   5:48.79 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   6:08.55 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 364.7   6.3   6:28.56 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 387.5   6.3   6:48.55 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 375.0   6.3   7:08.38 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 370.6   6.3   7:28.24 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3   7:48.27 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3   8:08.05 ego-host
 800973 root      20   0   34.0g  31.4g  31.4g S 381.2   6.3   8:28.07 ego-host
 800973 root      20   0       0      0      0 R  94.1   0.0   8:45.89 ego-host
