PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 969077 root      20   0   32.1g  79064   7732 R  76.5   0.0   0:00.13 ego-host
 969077 root      20   0   32.1g   7.0g   7.0g R 100.0   1.4   0:05.32 ego-host
 969077 root      20   0   32.1g  14.1g  14.0g R 100.0   2.8   0:10.51 ego-host
 969077 root      20   0   32.1g  21.1g  21.0g R 100.0   4.2   0:15.71 ego-host
 969077 root      20   0   32.1g  28.1g  28.1g R 100.0   5.6   0:20.90 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S  1000   6.3   0:37.82 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 856.2   6.3   1:21.65 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 868.8   6.3   2:05.32 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 952.9   6.3   2:49.58 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 788.2   6.3   3:33.05 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 831.2   6.3   4:16.50 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 812.5   6.3   5:00.41 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 831.2   6.3   5:44.11 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 843.8   6.3   6:28.00 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 805.9   6.3   7:12.29 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 805.9   6.3   7:55.86 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 758.8   6.3   8:39.97 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 952.9   6.3   9:23.60 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 994.1   6.3  10:07.16 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 837.5   6.3  10:50.62 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 776.5   6.3  11:34.06 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 800.0   6.3  12:17.47 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 817.6   6.3  13:01.21 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S  1000   6.3  13:44.86 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 788.2   6.3  14:28.95 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 782.4   6.3  15:12.62 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 794.1   6.3  15:56.45 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 800.0   6.3  16:40.23 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 782.4   6.3  17:23.75 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 788.2   6.3  18:07.45 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 782.4   6.3  18:50.68 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 800.0   6.3  19:34.72 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 794.1   6.3  20:18.69 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 782.4   6.3  21:02.27 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 788.2   6.3  21:46.18 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 829.4   6.3  22:30.15 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 837.5   6.3  23:14.19 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 856.2   6.3  23:58.30 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 850.0   6.3  24:43.16 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 876.5   6.3  25:26.93 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 788.2   6.3  26:11.05 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 794.1   6.3  26:54.99 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 776.5   6.3  27:39.45 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S 823.5   6.3  28:23.31 ego-host
 969077 root      20   0   34.0g  31.4g  31.4g S  1012   6.3  29:07.65 ego-host
